iter	Passed	Remaining
245	4962	15209
246	4983	15192
247	5003	15172
248	5032	15179
249	5050	15151
250	5068	15123
251	5089	15107
252	5106	15078
253	5124	15050
254	5143	15026
255	5161	14999
256	5180	14976
257	5199	14952
258	5217	14928
259	5238	14909
260	5259	14891
261	5280	14874
262	5299	14850
263	5317	14824
264	5340	14812
265	5367	14811
266	5399	14824
267	5420	14804
268	5443	14791
269	5463	14772
270	5483	14750
271	5504	14732
272	5529	14724
273	5549	14704
274	5573	14693
275	5598	14685
276	5619	14667
277	5639	14646
278	5657	14619
279	5675	14594
280	5700	14586
281	5724	14575
282	5744	14553
283	5764	14532
284	5787	14518
285	5812	14511
286	5838	14505
287	5859	14485
288	5885	14478
289	5903	14454
290	5923	14431
291	5943	14409
292	5968	14400
293	5989	14383
294	6010	14363
295	6029	14341
296	6050	14321
297	6071	14301
298	6094	14288
299	6117	14274
300	6136	14250
301	6158	14232
302	6181	14219
303	6202	14200
304	6223	14180
305	6247	14168
306	6269	14152
307	6292	14138
308	6317	14127
309	6337	14106
310	6359	14088
311	6381	14072
312	6401	14050
313	6422	14031
314	6445	14015
315	6466	13998
316	6487	13978
317	6515	13973
318	6543	13969
319	6575	13973
320	6606	13974
321	6638	13978
322	6668	13976
323	6696	13971
324	6726	13970
325	6752	13961
326	6774	13942
327	6805	13942
328	6840	13950
329	6867	13944
330	6893	13932
331	6918	13920
332	6945	13911
333	7008	13974
334	7069	14033
335	7100	14032
336	7129	14026
337	7155	14014
338	7180	14001
339	7211	13998
340	7237	13986
341	7266	13980
342	7292	13969
343	7320	13959
344	7350	13955
345	7380	13949
346	7411	13947
347	7438	13935
348	7466	13928
349	7489	13909
350	7515	13895
351	7540	13880
352	7565	13867
353	7591	13853
354	7618	13842
355	7645	13830
356	7670	13815
357	7693	13797
358	7717	13780
359	7741	13762
360	7767	13748
361	7790	13730
362	7812	13709
363	7834	13688
364	7858	13672
365	7882	13653
366	7906	13637
367	7934	13626
368	7956	13606
369	7980	13588
370	8004	13571
371	8026	13549
372	8045	13524
373	8072	13511
374	8093	13489
375	8115	13468
376	8136	13445
377	8155	13420
378	8179	13401
379	8207	13391
380	8234	13378
381	8263	13369
382	8291	13356
383	8315	13338
384	8342	13326
385	8368	13310
386	8392	13292
387	8417	13277
388	8438	13254
389	8458	13230
390	8480	13208
391	8502	13187
392	8522	13163
393	8545	13143
394	8571	13127
395	8595	13110
396	8618	13091
397	8642	13072
398	8666	13054
399	8692	13038
400	8713	13015
401	8736	12996
402	8762	12980
403	8787	12963
404	8810	12944
405	8836	12928
406	8861	12911
407	8893	12904
408	8926	12898
409	8950	12880
410	8970	12855
411	8990	12830
412	9010	12807
413	9032	12785
414	9054	12763
415	9075	12740
416	9095	12716
417	9117	12694
418	9140	12674
419	9162	12652
420	9184	12631
421	9212	12618
422	9241	12605
423	9270	12593
424	9306	12591
425	9337	12581
426	9374	12579
427	9412	12579
428	9444	12570
429	9480	12566
430	9516	12563
431	9546	12551
432	9575	12539
433	9605	12527
434	9643	12525
435	9680	12523
436	9710	12509
437	9756	12518
438	9795	12517
439	9817	12494
440	9845	12479
441	9867	12457
442	9889	12434
443	9907	12406
444	9926	12380
445	9943	12351
446	9961	12324
447	9983	12301
448	10003	12276
449	10025	12253
450	10051	12235
451	10089	12231
452	10118	12218
453	10171	12232
454	10199	12216
455	10230	12204
456	10255	12185
457	10281	12167
458	10304	12145
459	10332	12129
460	10360	12113
461	10386	12094
462	10411	12076
463	10438	12058
464	10467	12043
465	10494	12025
466	10521	12008
467	10559	12003
468	10586	11986
469	10612	11967
470	10636	11946
471	10666	11932
472	10691	11912
473	10722	11899
474	10750	11881
475	10812	11902
476	10852	11898
477	10883	11885
478	10905	11862
479	10925	11836
480	10952	11817
481	10974	11793
482	10996	11771
483	11021	11750
484	11043	11726
485	11066	11704
486	11086	11678
487	11108	11655
488	11131	11632
489	11157	11613
490	11181	11591
491	11204	11568
492	11225	11544
493	11246	11519
494	11268	11495
495	11288	11471
496	11311	11448
497	11333	11424
498	11357	11403
499	11382	11382
500	11407	11362
501	11432	11341
502	11469	11332
503	11498	11315
504	11520	11292
505	11544	11270
506	11567	11248
507	11589	11224
508	11614	11203
509	11635	11178
510	11657	11155
511	11680	11132
512	11707	11114
513	11729	11090
514	11752	11067
515	11777	11046
516	11797	11021
517	11818	10997
518	11841	10974
519	11862	10949
520	11885	10926
521	11906	10902
522	11928	10878
523	11948	10854
524	11973	10833
525	11992	10806
526	12010	10779
527	12027	10751
528	12045	10724
529	12061	10696
530	12079	10669
531	12098	10642
532	12124	10623
533	12149	10602
534	12173	10580
535	12193	10555
536	12213	10530
537	12229	10502
538	12247	10475
539	12265	10448
540	12286	10424
541	12318	10409
542	12344	10389
543	12365	10365
544	12382	10337
545	12401	10311
546	12422	10287
547	12444	10264
548	12464	10239
549	12490	10219
550	12515	10198
551	12536	10174
552	12558	10151
553	12579	10126
554	12601	10103
555	12629	10085
556	12652	10062
557	12681	10045
558	12714	10030
559	12742	10011
560	12769	9992
561	12796	9972
562	12823	9953
563	12850	9933
564	12876	9914
565	12903	9894
566	12929	9874
567	12956	9854
568	12981	9833
569	13008	9813
570	13034	9793
571	13057	9770
572	13143	9794
573	13188	9788
574	13213	9766
575	13237	9744
576	13258	9719
577	13277	9694
578	13297	9669
579	13317	9643
580	13339	9620
581	13361	9596
582	13384	9573
583	13419	9559
584	13445	9538
585	13468	9515
586	13490	9491
587	13510	9466
588	13531	9442
589	13553	9418
590	13577	9395
591	13605	9377
592	13648	9367
593	13684	9353
594	13714	9335
595	13740	9314
596	13766	9293
597	13788	9269
598	13814	9248
599	13837	9224
600	13861	9202
601	13886	9180
602	13913	9160
603	13944	9142
604	13973	9123
605	13998	9101
606	14018	9075
607	14036	9050
608	14056	9024
609	14078	9001
610	14097	8975
611	14115	8949
612	14134	8923
613	14156	8899
614	14175	8874
615	14196	8849
616	14215	8824
617	14235	8799
618	14256	8775
619	14276	8750
620	14296	8725
621	14318	8701
622	14340	8677
623	14362	8654
624	14389	8633
625	14420	8615
626	14446	8594
627	14471	8572
628	14496	8550
629	14517	8526
630	14536	8500
631	14556	8476
632	14576	8451
633	14598	8427
634	14622	8404
635	14651	8385
636	14679	8365
637	14714	8349
638	14752	8334
639	14770	8308
640	14787	8281
641	14804	8255
642	14821	8229
643	14839	8203
644	14859	8178
645	14877	8152
646	14893	8125
647	14911	8100
648	14930	8074
649	14948	8049
650	14967	8024
651	14987	7999
652	15008	7975
653	15027	7950
654	15046	7925
655	15065	7900
656	15085	7875
657	15104	7850
658	15124	7825
659	15142	7800
660	15162	7776
661	15182	7751
662	15202	7727
663	15222	7703
664	15242	7678
665	15262	7654
666	15282	7629
667	15302	7605
668	15322	7581
669	15342	7556
670	15361	7532
671	15381	7507
672	15402	7483
673	15423	7459
674	15442	7435
675	15462	7411
676	15483	7387
677	15514	7368
678	15541	7347
679	15560	7322
680	15582	7299
681	15602	7275
682	15622	7250
683	15643	7227
684	15662	7202
685	15685	7179
686	15705	7155
687	15727	7132
688	15751	7109
689	15772	7086
690	15799	7065
691	15826	7043
692	15852	7022
693	15871	6998
694	15891	6974
695	15918	6952
696	15956	6936
697	15983	6915
698	16005	6892
699	16025	6868
700	16045	6843
701	16067	6820
702	16087	6796
703	16103	6770
704	16122	6746
705	16141	6721
706	16160	6697
707	16179	6673
708	16198	6648
709	16216	6623
710	16233	6598
711	16253	6574
712	16273	6550
713	16291	6525
714	16312	6502
715	16331	6477
716	16352	6454
717	16370	6429
718	16387	6404
719	16406	6380
720	16437	6360
721	16462	6338
722	16482	6314
723	16504	6291
724	16521	6266
725	16540	6242
726	16556	6217
727	16574	6192
728	16590	6167
729	16606	6142
730	16621	6116
731	16636	6091
732	16651	6065
733	16671	6041
734	16685	6015
735	16699	5989
736	16714	5964
737	16729	5939
738	16745	5914
739	16759	5888
740	16775	5863
741	16789	5837
742	16805	5813
743	16824	5789
744	16854	5768
745	16879	5747
746	16896	5722
747	16912	5697
748	16927	5672
749	16943	5647
750	16957	5622
751	16971	5596
752	16986	5572
753	17001	5546
754	17021	5523
755	17035	5498
756	17053	5474
757	17072	5450
758	17088	5426
759	17105	5401
760	17121	5377
761	17138	5352
762	17154	5328
763	17169	5303
764	17187	5279
765	17202	5255
766	17218	5230
767	17233	5206
768	17248	5181
769	17264	5156
770	17280	5132
771	17295	5107
772	17310	5083
773	17326	5059
774	17341	5034
775	17357	5010
776	17370	4985
777	17385	4960
778	17399	4936
779	17414	4911
780	17432	4888
781	17446	4863
782	17460	4839
783	17478	4815
784	17493	4791
785	17509	4767
786	17525	4743
787	17541	4719
788	17557	4695
789	17575	4671
790	17594	4648
791	17613	4625
792	17629	4601
793	17650	4579
794	17668	4556
795	17685	4532
796	17702	4508
797	17718	4485
798	17735	4461
799	17751	4437
800	17767	4414
801	17784	4390
802	17800	4367
803	17816	4343
804	17831	4319
805	17846	4295
806	17861	4271
807	17876	4247
808	17891	4224
809	17907	4200
810	17922	4176
811	17937	4153
812	17952	4129
813	17968	4105
814	17984	4082
815	17999	4058
816	18014	4035
817	18031	4011
818	18046	3988
819	18066	3965
820	18082	3942
821	18098	3919
822	18114	3895
823	18141	3874
824	18170	3854
825	18222	3838
826	18252	3818
827	18280	3797
828	18313	3777
829	18340	3756
830	18356	3733
831	18374	3710
832	18401	3689
833	18427	3667
834	18451	3646
835	18483	3626
836	18510	3604
837	18538	3583
838	18561	3561
839	18580	3539
840	18600	3516
841	18618	3493
842	18639	3471
843	18657	3448
844	18685	3427
845	18706	3405
846	18727	3382
847	18748	3360
848	18767	3337
849	18789	3315
850	18852	3300
851	18908	3284
852	18931	3262
853	18954	3240
854	18976	3218
855	18999	3196
856	19028	3175
857	19051	3153
858	19078	3131
859	19106	3110
860	19135	3089
861	19158	3067
862	19183	3045
863	19203	3022
864	19223	3000
865	19246	2978
866	19270	2956
867	19300	2935
868	19328	2913
869	19348	2891
870	19366	2868
871	19385	2845
872	19406	2823
873	19429	2801
874	19451	2778
875	19475	2756
876	19502	2735
877	19535	2714
878	19571	2694
879	19591	2671
880	19610	2648
881	19628	2626
882	19643	2602
883	19658	2579
884	19674	2556
885	19690	2533
886	19708	2510
887	19727	2488
888	19748	2465
889	19784	2445
890	19818	2424
891	19861	2404
892	19891	2383
893	19914	2361
894	19933	2338
895	19951	2315
896	19971	2293
897	19989	2270
898	20008	2247
899	20029	2225
900	20055	2203
901	20075	2181
902	20095	2158
903	20119	2136
904	20146	2114
905	20171	2092
906	20196	2070
907	20218	2048
908	20239	2026
909	20264	2004
910	20294	1982
911	20322	1960
912	20352	1939
913	20378	1917
914	20397	1894
915	20423	1872
916	20443	1850
917	20464	1827
918	20486	1805
919	20505	1783
920	20527	1760
921	20545	1738
922	20563	1715
923	20581	1692
924	20611	1671
925	20637	1649
926	20660	1626
927	20683	1604
928	20702	1582
929	20722	1559
930	20744	1537
931	20768	1515
932	20792	1493
933	20815	1470
934	20838	1448
935	20862	1426
936	20884	1404
937	20900	1381
938	20927	1359
939	20945	1336
940	20963	1314
941	20981	1291
942	21000	1269
943	21022	1247
944	21043	1224
945	21067	1202
946	21089	1180
947	21107	1157
948	21128	1135
949	21147	1113
950	21166	1090
951	21189	1068
952	21214	1046
953	21241	1024
954	21265	1002
955	21287	979
956	21306	957
957	21325	934
958	21348	912
959	21369	890
960	21386	867
961	21405	845
962	21427	823
963	21448	800
964	21468	778
965	21495	756
966	21521	734
967	21544	712
968	21568	690
969	21588	667
970	21611	645
971	21638	623
972	21663	601
973	21685	578
974	21712	556
975	21737	534
976	21760	512
977	21786	490
978	21807	467
979	21826	445
980	21844	423
981	21861	400
982	21878	378
983	21895	356
984	21912	333
985	21929	311
986	21944	289
987	21962	266
988	21981	244
989	22003	222
990	22026	200
991	22050	177
992	22073	155
993	22098	133
994	22127	111
995	22148	88
996	22173	66
997	22193	44
998	22221	22
999	22242	0
